,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
205,AP,DisFirst_reg,,-0.6715916722632639,,DFi_2,(based on tag),,1489,"Pref (12, pigep.wav)",AP,361388,,,,,p,,,(based on tag)
206,AP,DisFirst_reg,,-0.6958942240779401,,DFi_2,(based on tag),,1437,"Pref (13, potip.wav)",AP,362988,,,,,p,,,(based on tag)
207,AP,DisFirst_reg,,-0.4662004662004662,,DFi_2,(based on tag),,2145,"Pref (20, bugibe.wav)",AP,365287,,,,,b,,,(based on tag)
208,AP,DisFirst_reg,,-0.5050505050505051,,DFi_2,(based on tag),,1980,"Pref (10, gutop.wav)",AP,367417,,,,,p,,,(based on tag)
209,AP,DisFirst_reg,,-0.585480093676815,,DFi_2,(based on tag),,1708,"Pref (6, dikep.wav)",AP,369347,,,,,p,,,(based on tag)
210,AP,DisFirst_reg,,-0.40535062829347385,,DFi_2,(based on tag),,2467,"Pref (11, pidop.wav)",AP,371966,,,,,p,,,(based on tag)
211,AP,DisFirst_reg,,-0.48426150121065376,,DFi_2,(based on tag),,2065,"Pref (22, dikebe.wav)",AP,374186,,,,,b,,,(based on tag)
212,AP,DisFirst_reg,,-0.3933910306845004,,DFi_2,(based on tag),,2542,"Pref (18, bikube.wav)",AP,376935,,,,,b,,,(based on tag)
213,AP,DisFirst_reg,,-0.6238303181534622,,DFi_2,(based on tag),,1603,"Pref (17, bidobe.wav)",AP,378705,,,,,b,,,(based on tag)
214,AP,DisFirst_reg,,-0.8673026886383348,,DFi_2,(based on tag),,1153,"Pref (2, bikup.wav)",AP,380005,,,,,p,,,(based on tag)
215,AP,DisFirst_reg,,-0.5083884087442806,,DFi_2,(based on tag),,1967,"Pref (28, pigebe.wav)",AP,382124,,,,,b,,,(based on tag)
216,AP,DisFirst_reg,,-0.5780346820809249,,DFi_2,(based on tag),,1730,"Pref (21, degobe.wav)",AP,384014,,,,,b,,,(based on tag)
217,AP,DisFirst_reg,,-0.66711140760507,,DFi_2,(based on tag),,1499,"Pref (3, bogep.wav)",AP,385714,,,,,p,,,(based on tag)
218,AP,DisFirst_reg,,-0.6377551020408163,,DFi_2,(based on tag),,1568,"Pref (1, bidop.wav)",AP,387443,,,,,p,,,(based on tag)
219,AP,DisFirst_reg,,-0.4528985507246377,,DFi_2,(based on tag),,2208,"Pref (27, pidobe.wav)",AP,389803,,,,,b,,,(based on tag)
220,AP,DisFirst_reg,,-0.4314063848144953,,DFi_2,(any response),,2318,Please take a b...,AP,389913,,,,,,,,(any response)
221,AP,DisFirst_reg,,-0.6557377049180327,,DFi_2,(based on tag),,1525,"Pref (7, dogip.wav)",AP,391653,,,,,p,,,(based on tag)
222,AP,DisFirst_reg,,-0.7633587786259542,,DFi_2,(based on tag),,1310,"Pref (9, gotep.wav)",AP,393112,,,,,p,,,(based on tag)
223,AP,DisFirst_reg,,-0.3523608174770965,,DFi_2,(based on tag),,2838,"Pref (21, degobe.wav)",AP,396102,,,,,b,,,(based on tag)
224,AP,DisFirst_reg,,-0.7616146230007617,,DFi_2,(based on tag),,1313,"Pref (15, todip.wav)",AP,397581,,,,,p,,,(based on tag)
225,AP,DisFirst_reg,,-0.7293946024799417,,DFi_2,(based on tag),,1371,"Pref (1, bidop.wav)",AP,399111,,,,,p,,,(based on tag)
226,AP,DisFirst_reg,,-0.4299226139294927,,DFi_2,(based on tag),,2326,"Pref (29, potibe.wav)",AP,401591,,,,,b,,,(based on tag)
227,AP,DisFirst_reg,,-0.78064012490242,,DFi_2,(based on tag),,1281,"Pref (26, gutobe.wav)",AP,403030,,,,,b,,,(based on tag)
228,AP,DisFirst_reg,,-0.7692307692307693,,DFi_2,(based on tag),,1300,"Pref (25, gotebe.wav)",AP,404480,,,,,b,,,(based on tag)
229,AP,DisFirst_reg,,-0.779423226812159,,DFi_2,(based on tag),,1283,"Pref (31, todibe.wav)",AP,405980,,,,,b,,,(based on tag)
230,AP,DisFirst_reg,,-0.3988831272437176,,DFi_2,(based on tag),,2507,"Pref (2, bikup.wav)",AP,408639,,,,,p,,,(based on tag)
231,AP,DisFirst_reg,,-0.9881422924901185,,DFi_2,(based on tag),,1012,"Pref (8, dokup.wav)",AP,409869,,,,,p,,,(based on tag)
232,AP,DisFirst_reg,,-0.6373486297004461,,DFi_2,(based on tag),,1569,"Pref (24, dokube.wav)",AP,411589,,,,,b,,,(based on tag)
233,AP,DisFirst_reg,,-0.8278145695364238,,DFi_2,(based on tag),,1208,"Pref (11, pidop.wav)",AP,412948,,,,,p,,,(based on tag)
234,AP,DisFirst_reg,,-0.5817335660267597,,DFi_2,(based on tag),,1719,"Pref (16, todup.wav)",AP,414818,,,,,p,,,(based on tag)
235,AP,DisFirst_reg,,-0.7886435331230284,,DFi_2,(based on tag),,1268,"Pref (10, gutop.wav)",AP,416248,,,,,p,,,(based on tag)
236,AP,DisFirst_reg,,-0.42955326460481097,,DFi_2,(based on tag),,2328,"Pref (23, dogibe.wav)",AP,418728,,,,,b,,,(based on tag)
237,AP,DisFirst_reg,,-0.43122035360068994,,DFi_2,(based on tag),,2319,"Pref (20, bugibe.wav)",AP,421207,,,,,b,,,(based on tag)
238,AP,DisFirst_reg,,-0.7189072609633357,,DFi_2,(based on tag),,1391,"Pref (27, pidobe.wav)",AP,422767,,,,,b,,,(based on tag)
239,AP,DisFirst_reg,,-0.6920415224913494,,DFi_2,(based on tag),,1445,"Pref (17, bidobe.wav)",AP,424386,,,,,b,,,(based on tag)
240,AP,DisFirst_reg,,-0.6631299734748011,,DFi_2,(based on tag),,1508,"Pref (14, tekup.wav)",AP,426056,,,,,p,,,(based on tag)
241,AP,DisFirst_reg,,-0.6035003017501509,,DFi_2,(based on tag),,1657,"Pref (30, tekube.wav)",AP,427876,,,,,b,,,(based on tag)
242,AP,DisFirst_reg,,-0.5871990604815033,,DFi_2,(based on tag),,1703,"Pref (19, bogebe.wav)",AP,429725,,,,,b,,,(based on tag)
243,AP,DisFirst_reg,,-0.6013229104028863,,DFi_2,(based on tag),,1663,"Pref (4, bugip.wav)",AP,431555,,,,,p,,,(based on tag)
