.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	J_M
.Session ID	DF_1
.Date	9/11/2025	9:25:32 AM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	J_M	DF_1	dispref	dispref, 3	dispref (3, bikub.wav)	271231	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1943	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 30	dispref (30, todipe.wav)	272661	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1286	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 22	dispref (22, pidope.wav)	274231	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1371	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 13	dispref (13, dogib.wav)	275520	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1140	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 1	dispref (1, bidob.wav)	276920	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1236	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 17	dispref (17, goteb.wav)	278220	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1151	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 6	dispref (6, bogepe.wav)	279970	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1598	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 18	dispref (18, gotepe.wav)	281599	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1427	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 18	Please take a b...	282779	Button 5 (right thumb)	5	Pressed	(any response)	C	2607	
DisFirst_reg	J_M	DF_1	dispref	dispref, 12	dispref (12, dikepe.wav)	285498	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2497	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 24	dispref (24, pigepe.wav)	286768	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1073	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 20	dispref (20, gutope.wav)	288358	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1270	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 10	dispref (10, degope.wav)	290478	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1925	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 30	dispref (30, todipe.wav)	292057	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1389	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 7	dispref (7, bugib.wav)	293187	Button 4 (left thumb)	4	Pressed	(based on tag)	C	976	b
