.Experiment Name	Phoneme_VoicedVoiceless_6.27_25_
.Participant Name	Dis_reg1
.Session ID	 6.30.25
.Date	6/30/2025	8:47:01 AM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 20	dispref (20, gutope.wav)	178039	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1151	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 28	dispref (28, tekupe.wav)	179529	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1237	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 2	dispref (2, bidope.wav)	180889	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1193	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 1	dispref (1, bidob.wav)	182039	Button 4 (left thumb)	4	Pressed	(based on tag)	C	978	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 22	dispref (22, pidope.wav)	183538	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1347	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 26	dispref (26, potipe.wav)	184788	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1106	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 18	dispref (18, gotepe.wav)	186458	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1370	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 12	dispref (12, dikepe.wav)	187878	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1280	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 24	dispref (24, pigepe.wav)	189277	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1242	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 13	dispref (13, dogib.wav)	190737	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1269	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 29	dispref (29, todib.wav)	192057	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1128	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 14	dispref (14, dogipe.wav)	193577	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1315	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 19	dispref (19, gutob.wav)	194786	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1039	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 30	dispref (30, todipe.wav)	196166	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1237	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 32	dispref (32, todupe.wav)	197566	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1210	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 23	dispref (23, pigeb.wav)	198736	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1000	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 16	dispref (16, dokupe.wav)	200016	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1121	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 3	dispref (3, bikub.wav)	201425	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1105	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 6	dispref (6, bogepe.wav)	202815	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1224	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 27	dispref (27, tekub.wav)	203995	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1032	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 15	dispref (15, dokub.wav)	205095	Button 4 (left thumb)	4	Pressed	(based on tag)	C	955	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 9	dispref (9, degob.wav)	206284	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1043	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 4	dispref (4, bikube.wav)	207844	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1405	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 4	Please take a b...	227051	Button 4 (left thumb)	4	Pressed	(any response)	C	20612	
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 28	dispref (28, tekupe.wav)	228620	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1388	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 7	dispref (7, bugib.wav)	229750	Button 4 (left thumb)	4	Pressed	(based on tag)	C	984	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 30	dispref (30, todipe.wav)	231150	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1243	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 1	dispref (1, bidob.wav)	232499	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1179	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 22	dispref (22, pidope.wav)	233999	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1343	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 6	dispref (6, bogepe.wav)	235499	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1313	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 2	dispref (2, bidope.wav)	236979	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1277	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 8	dispref (8, bugipe.wav)	238288	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1161	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 29	dispref (29, todib.wav)	239588	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1050	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 10	dispref (10, degope.wav)	240928	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1163	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 14	dispref (14, dogipe.wav)	242348	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1178	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 15	dispref (15, dokub.wav)	243537	Button 4 (left thumb)	4	Pressed	(based on tag)	C	955	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 16	dispref (16, dokupe.wav)	244887	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1141	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 25	dispref (25, potib.wav)	246657	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1496	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 19	dispref (19, gutob.wav)	247807	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1006	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 31	dispref (31, todub.wav)	247996	Button 4 (left thumb)	4	Pressed	(based on tag)	C	27	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 13	dispref (13, dogib.wav)	249886	Button 4 (left thumb)	4	Pressed	(based on tag)	C	865	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 21	dispref (21, pidob.wav)	251196	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1130	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 17	dispref (17, goteb.wav)	252426	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1078	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 11	dispref (11, dikeb.wav)	253495	Button 4 (left thumb)	4	Pressed	(based on tag)	C	924	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 9	dispref (9, degob.wav)	254745	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1072	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 3	dispref (3, bikub.wav)	256065	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1106	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 32	dispref (32, todupe.wav)	257355	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1140	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 20	dispref (20, gutope.wav)	258784	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1193	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 12	dispref (12, dikepe.wav)	260064	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1071	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 27	dispref (27, tekub.wav)	261354	Button 4 (left thumb)	4	Pressed	(based on tag)	C	980	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 23	dispref (23, pigeb.wav)	262424	Button 4 (left thumb)	4	Pressed	(based on tag)	C	922	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 24	dispref (24, pigepe.wav)	263864	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1280	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 18	dispref (18, gotepe.wav)	265163	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1153	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 5	dispref (5, bogeb.wav)	266373	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1029	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 4	dispref (4, bikube.wav)	267853	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1325	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 26	dispref (26, potipe.wav)	269043	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1028	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 26	Please take a b...	279621	Button 4 (left thumb)	4	Pressed	(any response)	C	11606	
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 17	dispref (17, goteb.wav)	280861	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1068	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 29	dispref (29, todib.wav)	281960	Button 4 (left thumb)	4	Pressed	(based on tag)	C	942	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 16	dispref (16, dokupe.wav)	283330	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1224	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 24	dispref (24, pigepe.wav)	284600	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1080	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 19	dispref (19, gutob.wav)	285859	Button 4 (left thumb)	4	Pressed	(based on tag)	C	959	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 3	dispref (3, bikub.wav)	286919	Button 4 (left thumb)	4	Pressed	(based on tag)	C	899	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 25	dispref (25, potib.wav)	288149	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1021	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 28	dispref (28, tekupe.wav)	289469	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1121	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 22	dispref (22, pidope.wav)	290809	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1075	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 8	dispref (8, bugipe.wav)	292298	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1135	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 15	dispref (15, dokub.wav)	293638	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1059	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 5	dispref (5, bogeb.wav)	294658	Button 4 (left thumb)	4	Pressed	(based on tag)	C	878	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 11	dispref (11, dikeb.wav)	295728	Button 4 (left thumb)	4	Pressed	(based on tag)	C	846	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 10	dispref (10, degope.wav)	297147	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1221	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 7	dispref (7, bugib.wav)	298467	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1135	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 2	dispref (2, bidope.wav)	299807	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1194	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 9	dispref (9, degob.wav)	301027	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1051	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 31	dispref (31, todub.wav)	302117	Button 4 (left thumb)	4	Pressed	(based on tag)	C	935	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 21	dispref (21, pidob.wav)	303036	Button 4 (left thumb)	4	Pressed	(based on tag)	C	760	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 26	dispref (26, potipe.wav)	304496	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1154	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 14	dispref (14, dogipe.wav)	306076	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1329	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 23	dispref (23, pigeb.wav)	307335	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1114	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 32	dispref (32, todupe.wav)	308755	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1278	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 18	dispref (18, gotepe.wav)	310035	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1138	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 12	dispref (12, dikepe.wav)	311415	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1142	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 27	dispref (27, tekub.wav)	312714	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1062	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 30	dispref (30, todipe.wav)	314104	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1231	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 20	dispref (20, gutope.wav)	315464	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1173	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 6	dispref (6, bogepe.wav)	316974	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1274	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 1	dispref (1, bidob.wav)	318124	Button 4 (left thumb)	4	Pressed	(based on tag)	C	992	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 4	dispref (4, bikube.wav)	319563	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1294	p
