.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	DFi_2
.Session ID	AP
.Date	9/15/2025	2:58:38 PM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	DFi_2	AP	dispref	dispref, 29	dispref (29, todib.wav)	203917	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1513	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 21	dispref (21, pidob.wav)	206057	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1991	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 30	dispref (30, todipe.wav)	207696	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1484	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 32	dispref (32, todupe.wav)	209036	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1189	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 13	dispref (13, dogib.wav)	210596	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1328	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 20	dispref (20, gutope.wav)	212265	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1520	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 2	dispref (2, bidope.wav)	213905	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1486	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 10	dispref (10, degope.wav)	215425	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1366	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 31	dispref (31, todub.wav)	216775	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1203	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 3	dispref (3, bikub.wav)	218094	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1163	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 8	dispref (8, bugipe.wav)	220674	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2429	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 14	dispref (14, dogipe.wav)	222173	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1311	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 15	dispref (15, dokub.wav)	223313	Button 4 (left thumb)	4	Pressed	(based on tag)	C	983	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 18	dispref (18, gotepe.wav)	224793	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1301	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 22	dispref (22, pidope.wav)	226383	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1403	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 1	dispref (1, bidob.wav)	227452	Button 4 (left thumb)	4	Pressed	(based on tag)	C	917	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 4	dispref (4, bikupe.wav)	229162	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1551	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 4	Please take a b...	231392	Button 4 (left thumb)	4	Pressed	(any response)	C	3781	
DisFirst_reg	DFi_2	AP	dispref	dispref, 32	dispref (32, todupe.wav)	233081	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1474	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 11	dispref (11, dikeb.wav)	234221	Button 4 (left thumb)	4	Pressed	(based on tag)	C	983	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 29	dispref (29, todib.wav)	235471	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1078	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 27	dispref (27, tekub.wav)	237021	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1356	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 1	dispref (1, bidob.wav)	238361	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1182	b
