.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	DFi1
.Session ID	VY Test
.Date	9/9/2025	2:42:25 PM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 8	dispref_inverse (8, bugipe.wav)	150206	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1821	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 12	dispref_inverse (12, dikepe.wav)	152296	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1924	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 2	dispref_inverse (2, bidope.wav)	154475	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2009	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 30	dispref_inverse (30, todipe.wav)	156235	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1609	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 23	dispref_inverse (23, pigeb.wav)	157535	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1142	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 13	dispref_inverse (13, dogib.wav)	159064	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1330	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 15	dispref_inverse (15, dokub.wav)	160604	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1376	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 31	dispref_inverse (31, todub.wav)	163414	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2603	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 29	dispref_inverse (29, todib.wav)	165453	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1829	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 11	dispref_inverse (11, dikeb.wav)	166903	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1284	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 25	dispref_inverse (25, potib.wav)	168273	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1208	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 22	dispref_inverse (22, pidope.wav)	170432	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1995	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 5	dispref_inverse (5, bogeb.wav)	171712	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1119	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 5	Please take a b...	182120	Button 5 (right thumb)	5	Pressed	(any response)	C	11527	
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 32	dispref_inverse (32, todupe.wav)	184110	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1717	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 12	dispref_inverse (12, dikepe.wav)	185709	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1437	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 29	dispref_inverse (29, todib.wav)	186859	Button 5 (right thumb)	5	Pressed	(based on tag)	C	999	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 10	dispref_inverse (10, degope.wav)	188579	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1569	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 19	dispref_inverse (19, gutob.wav)	189719	Button 5 (right thumb)	5	Pressed	(based on tag)	C	987	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 13	dispref_inverse (13, dogib.wav)	191818	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1945	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 17	dispref_inverse (17, goteb.wav)	193408	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1428	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 9	dispref_inverse (9, degob.wav)	194668	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1072	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 22	dispref_inverse (22, pidope.wav)	196177	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1362	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 4	dispref_inverse (4, bikupe.wav)	197817	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1473	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 25	dispref_inverse (25, potib.wav)	199427	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1440	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 5	dispref_inverse (5, bogeb.wav)	200727	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1133	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 15	dispref_inverse (15, dokub.wav)	201947	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1053	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 6	dispref_inverse (6, bogepe.wav)	203466	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1350	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 7	dispref_inverse (7, bugib.wav)	204956	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1293	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 8	dispref_inverse (8, bugipe.wav)	206716	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1608	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 31	dispref_inverse (31, todub.wav)	207965	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1044	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 3	dispref_inverse (3, bikub.wav)	209615	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1486	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 30	dispref_inverse (30, todipe.wav)	211165	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1389	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 20	dispref_inverse (20, gutope.wav)	213124	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1807	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 24	dispref_inverse (24, pigepe.wav)	214514	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1196	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 1	dispref_inverse (1, bidob.wav)	215654	Button 5 (right thumb)	5	Pressed	(based on tag)	C	942	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 23	dispref_inverse (23, pigeb.wav)	216904	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1069	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 27	dispref_inverse (27, tekub.wav)	218623	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1529	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 16	dispref_inverse (16, dokupe.wav)	220403	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1636	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 2	dispref_inverse (2, bidope.wav)	221843	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1292	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 11	dispref_inverse (11, dikeb.wav)	223373	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1380	b
